"title","domain","difficulty","blurb","angles","seed_context","tags"
"Keynesian Economics","Economics & Business","Intermediate","An economic theory emphasizing government spending during downturns.","[""Why did Keynes oppose laissez-faire?"",""How do stimulus policies shape recessions?""]","Proposed by John Maynard Keynes in the 1930s.\nIt influenced policies like the New Deal.","keynes, economics, government"
"Monetarism","Economics & Business","Intermediate","An economic theory stressing the role of money supply in controlling inflation.","[""Why focus on money supply?"",""How did Friedman critique Keynes?""]","Milton Friedman led monetarism in the mid-20th century.\nIt shaped central bank policy in the 1970s–80s.","monetarism, friedman, inflation"
"Supply-Side Economics","Economics & Business","Intermediate","A theory arguing that lowering taxes boosts growth and investment.","[""Why cut taxes for growth?"",""What are criticisms of trickle-down?""]","Popularized in the 1980s under Reaganomics.\nIt remains debated in U.S. policy.","supply side, taxes, growth"
"Chicago School of Economics","Economics & Business","Intermediate","A school of thought promoting free markets and minimal government.","[""Why trust markets over government?"",""What policies reflect this?""]","Led by scholars like Milton Friedman.\nIt shaped late 20th-century economic policies.","chicago, free market, economics"
"International Trade Agreements","Economics & Business","Intermediate","Treaties that reduce tariffs and boost cross-border commerce.","[""Why do nations sign trade deals?"",""How do they affect workers?""]","Examples include NAFTA and WTO agreements.\nThey aim to expand markets but raise inequality concerns.","trade, agreements, globalization"
"NAFTA","Economics & Business","Intermediate","The North American Free Trade Agreement linking U.S., Canada, and Mexico.","[""How did NAFTA reshape industries?"",""Why is it controversial?""]","Implemented in 1994, NAFTA cut tariffs.\nIt increased trade but sparked debates on jobs.","nafta, trade, north america"
"World Trade Organization (WTO)","Economics & Business","Intermediate","An international body overseeing global trade rules.","[""Why enforce trade rules?"",""How does WTO settle disputes?""]","Formed in 1995, WTO has 160+ members.\nIt manages trade, tariffs, and conflicts.","wto, trade, global"
"European Union (EU) Economy","Economics & Business","Intermediate","A shared economic system integrating 27 European nations.","[""Why adopt common policies?"",""How does the euro affect trade?""]","The EU promotes free trade and uses the euro in many countries.\nIt is a model of regional integration.","eu, europe, economy"
"Euro Currency","Economics & Business","Intermediate","The shared currency of most European Union nations.","[""Why share one currency?"",""What challenges come with the euro?""]","Introduced in 1999, the euro is used by 20 nations.\nIt simplifies trade but complicates debt crises.","euro, europe, money"
"Cryptocurrencies","Economics & Business","Intermediate","Digital currencies secured by cryptography and decentralized networks.","[""Why bypass banks?"",""How do blockchains secure money?""]","Bitcoin (2009) was the first cryptocurrency.\nNow thousands exist, raising regulation debates.","crypto, bitcoin, blockchain"
"Bitcoin","Economics & Business","Intermediate","The first and most well-known cryptocurrency.","[""Why is Bitcoin valuable?"",""How does mining work?""]","Bitcoin was created by Satoshi Nakamoto in 2009.\nIt uses blockchain to record transactions.","bitcoin, crypto, blockchain"
"Ethereum","Economics & Business","Intermediate","A cryptocurrency platform enabling smart contracts and decentralized apps.","[""Why extend crypto beyond money?"",""How do smart contracts work?""]","Ethereum launched in 2015.\nIt powers decentralized finance and NFT markets.","ethereum, crypto, blockchain"
"Venture Capital","Economics & Business","Intermediate","Investment in startups with high risk and high potential return.","[""Why back risky startups?"",""How do VCs shape innovation?""]","Venture capital funds companies like Uber and Airbnb.\nIt drives growth in technology sectors.","venture capital, startups, investing"
"Private Equity","Economics & Business","Intermediate","Investment in companies not traded publicly, often restructuring them.","[""Why take firms private?"",""What risks come with debt financing?""]","Private equity firms buy, improve, and resell companies.\nIt’s a major force in global finance.","private equity, finance, investment"
"Hedge Funds","Economics & Business","Intermediate","Investment funds using complex strategies to maximize returns.","[""Why do hedge funds take big risks?"",""How do they influence markets?""]","Hedge funds use leverage, derivatives, and short-selling.\nThey are often accessible only to wealthy investors.","hedge funds, investing, finance"
"Microfinance","Economics & Business","Intermediate","Small loans provided to poor entrepreneurs in developing countries.","[""Why lend to the poor?"",""Does microfinance reduce poverty?""]","Popularized by Muhammad Yunus and Grameen Bank.\nIt aims to empower individuals without access to banks.","microfinance, poverty, lending"
"Corporate Social Responsibility","Economics & Business","Intermediate","The idea that companies should consider social and environmental impacts.","[""Why hold firms accountable?"",""Does CSR improve reputation?""]","CSR programs focus on sustainability, ethics, and community.\nIt is growing in global business.","csr, business, responsibility"
"Fair Trade Movement","Economics & Business","Intermediate","A system ensuring producers in developing nations earn fair prices.","[""Why pay more for fair trade?"",""How does it affect farmers?""]","Fair trade certifies coffee, cocoa, and more.\nIt promotes ethical sourcing and sustainability.","fair trade, business, ethics"
"Labor Unions","Economics & Business","Intermediate","Organizations of workers that negotiate for better pay and conditions.","[""Why do workers unionize?"",""How do unions shape industries?""]","Unions grew in the 19th century.\nThey remain influential in wages, benefits, and strikes.","labor, unions, workers"
"Outsourcing","Economics & Business","Intermediate","The practice of contracting work to outside firms or overseas.","[""Why outsource jobs?"",""What are risks of outsourcing?""]","Outsourcing lowers costs for firms.\nIt raises debates about jobs and global supply chains.","outsourcing, business, labor"
"Corporate Mergers","Economics & Business","Intermediate","The combining of two companies to create a larger entity.","[""Why do firms merge?"",""How do mergers affect competition?""]","Mergers occur for efficiency, expansion, or survival.\nThey reshape industries and markets.","mergers, business, companies"
"Hostile Takeovers","Economics & Business","Intermediate","An acquisition of a company against the wishes of its management.","[""Why resist takeovers?"",""How do shareholders decide?""]","Hostile takeovers use stock purchases or proxy fights.\nThey often spark legal and ethical battles.","takeovers, business, finance"
"Antitrust Laws","Economics & Business","Intermediate","Regulations preventing monopolies and promoting competition.","[""Why regulate markets?"",""What cases shaped antitrust history?""]","Antitrust laws emerged in the late 1800s.\nThey challenge dominant firms like Standard Oil or Microsoft.","antitrust, monopoly, competition"
"Standard Oil","Economics & Business","Intermediate","A dominant U.S. oil company broken up for monopoly practices.","[""Why break up big firms?"",""How did Standard Oil shape regulation?""]","Founded by John D. Rockefeller, it controlled oil markets.\nIt was split in 1911 by antitrust laws.","standard oil, monopoly, rockefeller"
"Corporate Governance","Economics & Business","Intermediate","The systems controlling how companies are directed and managed.","[""Why is governance important?"",""How do boards ensure accountability?""]","Governance involves shareholders, boards, and executives.\nIt prevents fraud and ensures oversight.","governance, business, boards"
"World Economic Forum","Economics & Business","Intermediate","An annual meeting of leaders in Davos discussing global issues.","[""Why gather business and politics?"",""Does WEF shape real change?""]","Founded in 1971, WEF hosts global leaders.\nIt debates climate, trade, and technology.","wef, davos, business"
"Financial Crisis of 2008","Economics & Business","Intermediate","A global economic collapse triggered by housing and banking failures.","[""Why did banks take such risks?"",""How did governments respond?""]","The 2008 crisis caused recessions worldwide.\nBailouts and reforms reshaped finance.","2008, crisis, banking"
